review_id,review_decision,review_reason
SGA2-0034,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0035,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0036,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0037,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0038,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0039,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0040,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0041,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0042,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0043,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0044,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0045,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0046,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0047,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0048,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0049,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0050,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0051,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0052,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0053,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0054,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0055,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0056,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0057,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0058,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0059,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0060,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0061,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0062,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0063,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0064,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0065,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0066,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0067,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0068,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0069,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0070,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0071,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0072,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0073,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0074,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0075,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0076,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0077,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0078,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0079,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0080,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0081,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0082,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0083,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0084,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0085,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0086,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0087,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0088,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0089,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0090,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0091,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0092,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0093,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0094,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0095,INVALID,FOOTNOTE_DIGIT_CONTAMINATED_UPPER_BOUND
SGA2-0096,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0097,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0098,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0099,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0100,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0101,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0102,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0103,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0104,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0105,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0106,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0107,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0108,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0109,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0110,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0111,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0112,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0113,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0114,AMBIGUOUS,BUSINESS_SEGMENT_SCOPE_NOT_ENCODED_IN_BINDING_IDENTITY
SGA2-0115,AMBIGUOUS,BUSINESS_SEGMENT_SCOPE_NOT_ENCODED_IN_BINDING_IDENTITY
SGA2-0116,AMBIGUOUS,BUSINESS_SEGMENT_SCOPE_NOT_ENCODED_IN_BINDING_IDENTITY
SGA2-0117,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0118,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0119,AMBIGUOUS,BUSINESS_SEGMENT_SCOPE_NOT_ENCODED_IN_BINDING_IDENTITY
SGA2-0120,AMBIGUOUS,BUSINESS_SEGMENT_SCOPE_NOT_ENCODED_IN_BINDING_IDENTITY
SGA2-0121,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0122,AMBIGUOUS,BUSINESS_SEGMENT_SCOPE_NOT_ENCODED_IN_BINDING_IDENTITY
SGA2-0123,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0124,AMBIGUOUS,BUSINESS_SEGMENT_SCOPE_NOT_ENCODED_IN_BINDING_IDENTITY
SGA2-0125,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0126,AMBIGUOUS,BUSINESS_SEGMENT_SCOPE_NOT_ENCODED_IN_BINDING_IDENTITY
SGA2-0127,AMBIGUOUS,BUSINESS_SEGMENT_SCOPE_NOT_ENCODED_IN_BINDING_IDENTITY
SGA2-0128,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0129,AMBIGUOUS,BUSINESS_SEGMENT_SCOPE_NOT_ENCODED_IN_BINDING_IDENTITY
SGA2-0130,AMBIGUOUS,BUSINESS_SEGMENT_SCOPE_NOT_ENCODED_IN_BINDING_IDENTITY
SGA2-0131,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0132,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0133,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0134,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0135,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0136,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0137,AMBIGUOUS,AMENDED_FILING_NOT_AN_INDEPENDENT_EXPECTATION_CHANGE
SGA2-0138,AMBIGUOUS,AMENDED_FILING_NOT_AN_INDEPENDENT_EXPECTATION_CHANGE
SGA2-0139,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0140,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0141,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0142,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0143,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0144,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0145,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0146,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0147,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0148,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0149,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0150,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0151,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0152,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0153,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0154,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0155,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0156,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0157,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0158,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
SGA2-0159,VALID,SOURCE_CONFIRMS_CURRENT_RANGE_AND_SEMANTICS
