review_id,review_decision,review_reason
SG3X-0032,INVALID,BEFORE_CHARGES_BASIS_NOT_BOUND_TO_RANGE
SG3X-0033,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0034,INVALID,FISCAL_PERIOD_FROM_TABLE_FOOTNOTE
SG3X-0035,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0036,INVALID,USE_OF_CASH_SIGN_LOST
SG3X-0037,INVALID,FISCAL_PERIOD_FROM_TABLE_FOOTNOTE
SG3X-0038,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0039,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0040,INVALID,EPS_RANGE_MAPPED_TO_MARGIN
SG3X-0041,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0042,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0043,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0044,INVALID,EPS_RANGE_MAPPED_TO_MARGIN
SG3X-0045,INVALID,PRIOR_TABLE_COLUMN_MAPPED_AS_CURRENT
SG3X-0046,INVALID,EPS_RANGE_MAPPED_TO_MARGIN
SG3X-0047,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0048,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0049,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0050,INVALID,COMPARISON_YEAR_MAPPED_AS_GUIDANCE_YEAR
SG3X-0051,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0052,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0053,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0054,INVALID,ADJUSTED_OPERATING_PROFIT_MAPPED_TO_REVENUE
SG3X-0055,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0056,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0057,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0058,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0059,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0060,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0061,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0062,INVALID,COMPARISON_YEAR_MAPPED_AS_GUIDANCE_YEAR
SG3X-0063,INVALID,PRIOR_RANGE_MAPPED_AS_CURRENT
SG3X-0064,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0065,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0066,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0067,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0068,INVALID,HISTORICAL_GUIDANCE_MAPPED_AS_CURRENT
SG3X-0069,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0070,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0071,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0072,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0073,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0074,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0075,INVALID,QUARTER_RANGE_MAPPED_TO_FULL_YEAR
SG3X-0076,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0077,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0078,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0079,VALID,EXPLICIT_CURRENT_RANGE
SG3X-0080,INVALID,REPORTING_QUARTER_MAPPED_AS_GUIDANCE_QUARTER
